,data,valor_combustiveis
0,2022-03-02,6.108139
1,2022-03-09,6.1079726
2,2022-03-10,5.8164997
3,2022-03-16,6.6904116
4,2022-03-22,6.671274
5,2022-03-23,6.644
6,2022-03-28,6.7816663
7,2022-03-29,6.5541506
8,2022-03-30,6.6844397
0,2022-04-05,6.7636666
1,2022-04-06,6.6906247
2,2022-04-12,6.7583847
3,2022-04-13,6.877268
4,2022-04-14,6.747947
5,2022-04-20,6.9676323
6,2022-04-26,6.9083843
7,2022-04-27,6.956228
0,2022-06-01,6.673396
1,2022-06-06,6.29
2,2022-06-07,6.6573334
3,2022-06-08,6.608182
4,2022-06-09,6.469355
5,2022-06-15,6.5107446
6,2022-06-16,6.468
7,2022-06-21,6.42
8,2022-06-22,6.632979
9,2022-06-29,6.349876
10,2022-06-30,6.4216127
0,2022-01-04,6.149
1,2022-01-05,6.2919574
2,2022-01-12,6.3446627
3,2022-01-13,6.21
4,2022-01-19,6.3416343
5,2022-01-25,6.3719997
6,2022-01-26,6.3211074
0,2022-05-05,6.855673
1,2022-05-10,6.8464994
2,2022-05-11,6.780488
3,2022-05-16,6.7400002
4,2022-05-17,6.7044444
5,2022-05-18,6.7172413
6,2022-05-24,6.728219
7,2022-05-25,6.65
8,2022-05-31,6.7492304
0,2022-02-01,6.1990004
1,2022-02-02,6.2480354
2,2022-02-09,6.1970677
3,2022-02-15,6.1281996
4,2022-02-16,6.142657
5,2022-02-22,5.972818
6,2022-02-23,6.114094
7,2022-02-24,6.0151668
0,2020-07-01,3.314885
1,2020-12-01,3.964301
2,2020-07-02,3.3383
3,2020-11-02,3.8569727
4,2020-12-02,3.9350784
5,2020-11-03,3.8782835
6,2020-08-04,3.5236206
7,2020-08-05,3.464303
8,2020-08-06,3.474
9,2020-12-08,3.797
10,2020-07-09,3.337566
11,2020-11-09,3.848622
12,2020-12-09,3.9237072
13,2020-11-10,3.8041537
14,2020-12-10,4.0247736
15,2020-08-11,3.4911234
16,2020-07-13,3.417228
17,2020-08-13,3.504375
18,2020-07-14,3.4585
19,2020-07-15,3.4039767
20,2020-12-15,3.96387
21,2020-08-17,3.5265076
22,2020-11-17,3.8870788
23,2020-10-19,3.5661998
24,2020-10-20,3.8462582
25,2020-10-21,3.8953106
26,2020-12-22,4.009103
27,2020-07-23,3.4376078
28,2020-11-23,3.893296
29,2020-12-23,3.822
30,2020-11-24,3.906373
31,2020-10-26,3.8755789
32,2020-07-27,3.4437675
33,2020-12-27,3.9847612
0,2021-06-01,5.0873795
1,2021-03-02,4.878281
2,2021-01-03,4.0210814
3,2021-03-03,5.1355
4,2021-05-04,5.010393
5,2021-05-05,5.050375
6,2021-04-06,4.8949237
7,2021-02-07,4.0682
8,2021-02-08,4.1005907
9,2021-04-08,4.921
10,2021-06-08,5.1377482
11,2021-03-09,4.9802213
12,2021-01-10,4.0183496
13,2021-03-10,5.06365
14,2021-05-11,5.167263
15,2021-05-12,5.3355
16,2021-02-14,4.2152257
17,2021-04-14,4.846009
18,2021-06-15,5.152122
19,2021-06-16,5.138
20,2021-01-17,4.0058737
21,2021-03-17,5.025808
22,2021-05-18,5.2052884
23,2021-05-19,5.3157697
24,2021-04-21,4.9722457
25,2021-03-22,4.8393335
26,2021-06-22,5.142508
27,2021-03-23,4.880099
28,2021-01-24,4.04907
29,2021-02-25,4.6651006
30,2021-05-25,5.1401052
31,2021-04-27,4.9697113
32,2021-06-29,5.098944
33,2021-03-30,4.8080215
34,2021-01-31,4.11518
0,2021-09-01,5.603572
1,2021-12-01,6.1467967
2,2021-12-02,5.8793335
3,2021-08-03,5.181674
4,2021-11-03,6.156645
5,2021-11-04,6.1990004
6,2021-07-05,5.0286098
7,2021-10-05,5.6139307
8,2021-07-06,5.1861606
9,2021-10-06,5.455222
10,2021-07-07,5.0975
11,2021-09-07,5.469085
12,2021-09-08,5.5654325
13,2021-12-08,6.1546
14,2021-08-10,5.213848
15,2021-11-10,6.2001925
16,2021-08-11,5.25875
17,2021-07-13,5.1845193
18,2021-10-13,5.7351904
19,2021-09-14,5.5357504
20,2021-09-15,5.567078
21,2021-12-15,6.1048765
22,2021-12-16,6.017316
23,2021-08-17,5.31826
24,2021-11-17,6.24765
25,2021-08-18,5.5127144
